法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
法律,明治四十三年法律第五十四号,関税定率法,かんぜいていりつほう,,明治四十三年四月十五日,関税定率法等の一部を改正する法律,令和七年法律第十六号,令和七年三月三十一日,令和七年四月一日,,143AC0000000054,https://laws.e-gov.go.jp/law/143AC0000000054/20250401_507AC0000000016,
法律,昭和二十二年法律第百七十五号,昭和二十二年法律第百七十五号（災害被害者に対する租税の減免、徴収猶予等に関する法律）,さいがいひがいしゃにたいするそぜいのげんめんちょうしゅうゆうよとうにかんするほうりつ,,昭和二十二年十二月十三日,所得税法等の一部を改正する法律,令和三年法律第十一号,令和三年三月三十一日,令和四年一月一日,,322AC0000000175,https://laws.e-gov.go.jp/law/322AC0000000175/20220101_503AC0000000011,
政令,昭和二十二年政令第二百六十八号,昭和二十二年政令第二百六十八号（災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令）,さいがいひがいしゃにたいするそぜいのげんめんちょうしゅうゆうよとうにかんするほうりつのしこうにかんするせいれい,,昭和二十二年十二月十三日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律の一部の施行に伴う関係政令の整備等及び経過措置に関する政令,令和七年政令第六号,令和七年一月十七日,令和七年四月一日,,322CO0000000268,https://laws.e-gov.go.jp/law/322CO0000000268/20250401_507CO0000000006,
政令,昭和二十二年政令第二百六十八号,昭和二十二年政令第二百六十八号（災害被害者に対する租税の減免、徴収猶予等に関する法律の施行に関する政令）,さいがいひがいしゃにたいするそぜいのげんめんちょうしゅうゆうよとうにかんするほうりつのしこうにかんするせいれい,,昭和二十二年十二月十三日,所得税法施行令等の一部を改正する政令,令和七年政令第百二十号,令和七年三月三十一日,令和七年十二月一日,,322CO0000000268,https://laws.e-gov.go.jp/law/322CO0000000268/20251201_507CO0000000120,○
法律,昭和二十五年法律第七十三号,相続税法,そうぞくぜいほう,,昭和二十五年三月三十一日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,325AC0000000073,https://laws.e-gov.go.jp/law/325AC0000000073/20250601_504AC0000000068,
法律,昭和二十五年法律第七十三号,相続税法,そうぞくぜいほう,,昭和二十五年三月三十一日,所得税法等の一部を改正する法律,令和六年法律第八号,令和六年三月三十日,令和八年五月二十一日,公益信託に関する法律（令和六年法律第三十号）の施行の日,325AC0000000073,https://laws.e-gov.go.jp/law/325AC0000000073/20260521_506AC0000000008,○
法律,昭和二十五年法律第七十三号,相続税法,そうぞくぜいほう,,昭和二十五年三月三十一日,所得税法等の一部を改正する法律,令和五年法律第三号,令和五年三月三十一日,令和九年一月一日,,325AC0000000073,https://laws.e-gov.go.jp/law/325AC0000000073/20270101_505AC0000000003,○
法律,昭和二十五年法律第七十三号,相続税法,そうぞくぜいほう,,昭和二十五年三月三十一日,所得税法等の一部を改正する法律,令和六年法律第八号,令和六年三月三十日,令和九年一月一日,,325AC0000000073,https://laws.e-gov.go.jp/law/325AC0000000073/20270101_506AC0000000008,○
法律,昭和二十五年法律第百十号,資産再評価法,しさんさいひょうかほう,,昭和二十五年四月二十五日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,325AC0000000110,https://laws.e-gov.go.jp/law/325AC0000000110/20250601_504AC0000000068,
政令,昭和二十五年政令第七十一号,相続税法施行令,そうぞくぜいほうしこうれい,,昭和二十五年三月三十一日,相続税法施行令の一部を改正する政令,令和七年政令第百二十三号,令和七年三月三十一日,令和七年四月一日,,325CO0000000071,https://laws.e-gov.go.jp/law/325CO0000000071/20250401_507CO0000000123,
